p1_sets,p2_sets,sub_set,game_no,p1_games,p2_games,sub_game,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,sub_point,game_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,player1_quality,player2_quality,elo1,elo2,sub_point_squared,serve_no_squared,elo1_squared,elo2_squared,player1_quality_squared,player2_quality_squared,lasso_game_victor,player1_performance,player2_performance
0,0,0,1,0,0,0,0,0,1,2,2,0,1,-1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.694117647,0.305882353,0.610440508,0.389559492,1,4,0.710605887,0.289394113,0.837382728,0.162617272,0.639953673,0.000426148,0.999573886
0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.694117647,0.305882353,0.597060422,0.402939578,0,1,0.68707145,0.31292855,0.837382728,0.162617272,0.762563505,0.000429549,0.999570429
0,0,0,1,0,0,0,1,1,1,1,2,1,2,-1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.694117647,0.305882353,0.597566764,0.402433236,1,1,0.687975951,0.312024049,0.837382728,0.162617272,0.617896004,0.000390065,0.999610007
0,0,0,1,0,0,0,1,2,1,1,1,2,2,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.694117647,0.305882353,0.584357398,0.415642602,0,1,0.664045299,0.335954701,0.837382728,0.162617272,0.749105424,0.000363204,0.999636769
0,0,0,1,0,0,0,2,2,1,1,1,3,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.694117647,0.305882353,0.585118305,0.414881695,1,1,0.665442018,0.334557982,0.837382728,0.162617272,0.841488561,0.000413887,0.999586165
0,0,0,1,0,0,0,3,2,1,2,2,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.694117647,0.305882353,0.585861048,0.414138952,0,4,0.66680332,0.33319668,0.837382728,0.162617272,0.705536025,0.000508413,0.999491572
0,0,0,1,0,0,0,3,3,1,1,1,4,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.694117647,0.305882353,0.572878978,0.427121022,1,1,0.642725693,0.357274307,0.837382728,0.162617272,0.828030479,0.000571246,0.999428689
0,0,0,1,0,0,0,4,3,1,2,2,4,4,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.694117647,0.305882353,0.573969439,0.426030561,0,4,0.644770445,0.355229555,0.837382728,0.162617272,0.692077943,0.000597308,0.999402642
0,0,0,1,0,0,0,3,3,1,1,1,5,4,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.694117647,0.305882353,0.561316214,0.438683786,1,1,0.620815517,0.379184483,0.837382728,0.162617272,0.828358957,0.001203549,0.998796463
0,0,0,1,0,0,0,4,3,1,1,1,6,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.694117647,0.305882353,0.562865811,0.437134189,4,1,0.623774934,0.376225066,0.837382728,0.162617272,0.920626716,0.999453008,0.000546942
0,0,0,2,1,0,1,0,0,2,1,2,6,5,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.314115308,0.685884692,0.564345285,0.435654715,1,1,0.626594013,0.373405987,0.173374355,0.826625645,0.158479939,0.984649003,0.015350942
0,0,0,2,1,0,1,0,1,2,1,1,7,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.314115308,0.685884692,0.552052948,0.447947052,4,1,0.60298969,0.39701031,0.173374355,0.826625645,0.289458604,0.931946218,0.068053782
0,0,0,2,1,0,1,1,1,2,1,1,8,5,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.314115308,0.685884692,0.554084423,0.445915577,9,1,0.606917855,0.393082145,0.173374355,0.826625645,0.381610985,0.74672693,0.25327307
0,0,0,2,1,0,1,2,1,2,1,2,8,6,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.314115308,0.685884692,0.556000613,0.443999387,4,1,0.610613657,0.389386343,0.173374355,0.826625645,0.237289616,0.772459865,0.227540106
