match_id,player1,player2,elapsed_time,set_no,point_no,p1_sets,p2_sets,game_no,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_width,serve_depth,return_depth,player1_quality,player2_quality,elo1,elo2
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:00:00,1,1,0,0,1,0,0,0,0,1,2,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,7.84,2,95,BC,NCTL,ND,2.95,1.3,1781.335773,1136.779506
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:00:38,1,2,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.253,7.094,1,118,B,CTL,ND,2.95,1.3,1742.291141,1175.824138
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:01:01,1,3,0,0,1,0,0,1,1,1,1,2,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13.8,19.808,4,120,B,NCTL,D,2.95,1.3,1743.768705,1174.346574
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:01:31,1,4,0,0,1,0,0,1,2,1,1,1,2,2,1,0,0,0,1,0,F,0,0,0,0,0,1,0,0,0,0,0,0,0,0,51.108,75.631,13,130,BW,CTL,D,2.95,1.3,1705.222252,1212.893027
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:02:21,1,5,0,0,1,0,0,2,2,1,1,1,3,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.649,0.813,1,112,W,NCTL,,2.95,1.3,1707.442667,1210.672612
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:02:50,1,6,0,0,1,0,0,3,2,1,2,2,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.291,4.249,2,97,BW,NCTL,ND,2.95,1.3,1709.610076,1208.505203
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:03:33,1,7,0,0,1,0,0,3,3,1,1,1,4,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.817,17.821,1,109,W,CTL,D,2.95,1.3,1671.726898,1246.388382
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:04:01,1,8,0,0,1,0,0,4,3,1,2,2,4,4,1,0,0,0,0,1,F,0,0,0,0,0,1,0,1,0,0,0,0,0,0,17.503,18.067,6,105,B,NCTL,ND,2.95,1.3,1674.90899,1243.206289
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:04:48,1,9,0,0,1,0,0,3,3,1,1,1,5,4,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,34.489,24.594,7,128,BC,CTL,D,2.95,1.3,1637.985419,1280.12986
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:05:32,1,10,0,0,1,0,0,4,3,1,1,1,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.235,27.427,5,110,B,NCTL,ND,2.95,1.3,1642.507324,1275.607955
