p1_sets,p2_sets,sub_set,game_no,p1_games,p2_games,sub_game,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,sub_point,game_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,player1_quality,player2_quality,elo1,elo2,sub_point_squared,serve_no_squared,elo1_squared,elo2_squared,player1_quality_squared,player2_quality_squared
0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.585671126,0.414328874,0.516651187,0.483348813,1,1,0.533265482,0.466734518,0.666455427,0.333544573
0,0,0,1,0,0,0,1,0,1,2,1,2,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.585671126,0.414328874,0.520601738,0.479398262,4,4,0.541133642,0.458866358,0.666455427,0.333544573
0,0,0,1,0,0,0,2,0,1,1,1,3,0,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.585671126,0.414328874,0.524154497,0.475845503,9,1,0.548196515,0.451803485,0.666455427,0.333544573
0,0,0,1,0,0,0,3,0,1,1,1,4,0,4,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.585671126,0.414328874,0.527369448,0.472630552,16,1,0.55457537,0.44542463,0.666455427,0.333544573
0,0,0,2,1,0,1,0,0,2,1,2,4,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.413236297,0.586763703,0.530296396,0.469703604,9,1,0.56037114,0.43962886,0.331545069,0.668454931
0,0,0,2,1,0,1,0,1,2,1,2,4,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.413236297,0.586763703,0.521375023,0.478624977,4,1,0.542672061,0.457327939,0.331545069,0.668454931
0,0,0,2,1,0,1,0,2,2,2,1,5,2,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.413236297,0.586763703,0.513251145,0.486748855,9,4,0.526483689,0.473516311,0.331545069,0.668454931
0,0,0,2,1,0,1,1,2,2,1,2,5,3,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.413236297,0.586763703,0.517560496,0.482439504,4,1,0.535077723,0.464922277,0.331545069,0.668454931
0,0,0,2,1,0,1,1,3,2,1,2,5,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.413236297,0.586763703,0.509816123,0.490183877,1,1,0.519624683,0.480375317,0.331545069,0.668454931
0,0,0,3,1,1,0,0,0,1,1,1,6,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.670103093,0.329896907,0.502899369,0.497100631,4,1,0.505798542,0.494201458,0.804915222,0.195084778
0,0,0,3,1,1,0,1,0,1,1,2,6,5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.670103093,0.329896907,0.508366651,0.491633349,1,1,0.516728618,0.483271382,0.804915222,0.195084778
0,0,0,3,1,1,0,1,1,1,1,1,7,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.670103093,0.329896907,0.501611445,0.498388555,4,1,0.503222857,0.496777143,0.804915222,0.195084778
0,0,0,3,1,1,0,2,1,1,2,2,7,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.670103093,0.329896907,0.507226701,0.492773299,1,4,0.514450382,0.485549618,0.804915222,0.195084778
0,0,0,3,1,1,0,2,2,1,1,1,8,6,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.670103093,0.329896907,0.500599638,0.499400362,4,1,0.501199275,0.498800725,0.804915222,0.195084778
0,0,0,3,1,1,0,3,2,1,1,2,8,7,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.670103093,0.329896907,0.506331322,0.493668678,1,1,0.512660614,0.487339386,0.804915222,0.195084778
0,0,0,3,1,1,0,3,3,1,2,1,9,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.670103093,0.329896907,0.499805498,0.500194502,4,4,0.499610996,0.500389004,0.804915222,0.195084778
0,0,0,3,1,1,0,4,3,1,1,2,9,8,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.670103093,0.329896907,0.505628607,0.494371393,1,1,0.511255788,0.488744212,0.804915222,0.195084778
0,0,0,3,1,1,0,3,3,1,1,1,10,8,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.670103093,0.329896907,0.499182556,0.500817444,4,1,0.498365116,0.501634884,0.804915222,0.195084778
0,0,0,3,1,1,0,4,3,1,2,1,11,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.670103093,0.329896907,0.505077376,0.494922624,9,4,0.510153704,0.489846296,0.804915222,0.195084778
0,0,0,4,2,1,1,0,0,2,1,1,12,8,4,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.378814298,0.621185702,0.510295508,0.489704492,16,1,0.52058229,0.47941771,0.271076457,0.728923543
0,0,0,4,2,1,1,1,0,2,1,2,12,9,3,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.378814298,0.621185702,0.514927137,0.485072863,9,1,0.529827689,0.470172311,0.271076457,0.728923543
0,0,0,4,2,1,1,1,1,2,1,2,12,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.378814298,0.621185702,0.507456446,0.492543554,4,1,0.514909577,0.485090423,0.271076457,0.728923543
0,0,0,4,2,1,1,1,2,2,2,2,12,11,1,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.378814298,0.621185702,0.500803488,0.499196512,1,4,0.501606971,0.498393029,0.271076457,0.728923543
0,0,0,4,2,1,1,1,3,2,1,1,13,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.378814298,0.621185702,0.494910274,0.505089726,4,1,0.489821603,0.510178397,0.271076457,0.728923543
0,0,0,4,2,1,1,2,3,2,2,2,13,12,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.378814298,0.621185702,0.501294982,0.498705018,1,4,0.502589946,0.497410054,0.271076457,0.728923543
0,0,0,5,2,2,0,0,0,1,2,2,13,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.620136966,0.379863034,0.495345208,0.504654792,0,4,0.490691222,0.509308778,0.727159651,0.272840349
0,0,0,5,2,2,0,0,1,1,1,1,14,13,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.620136966,0.379863034,0.490078875,0.509921125,1,1,0.480165558,0.519834442,0.727159651,0.272840349
0,0,0,5,2,2,0,1,1,1,1,1,15,13,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.620136966,0.379863034,0.497007266,0.502992734,4,1,0.494014746,0.505985254,0.727159651,0.272840349
0,0,0,5,2,2,0,2,1,1,2,2,15,14,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.620136966,0.379863034,0.503152129,0.496847871,1,4,0.506304008,0.493695992,0.727159651,0.272840349
