,,,,,,,,,总得分,,,,发球得分,,非发球对手接不到,,正反手,发球失误,,失误,,擦网,,擦网获胜,,尝试破发,,破发得分,,破发未得分,,,,,,,,
game_no,p1_games,p2_games,sub_game,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,sub_point,game_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,player1_quality,player2_quality,elo1,elo2,p1_sets,p2_sets,sub_set
1,0,0,0,0,1,1,1,2,0,1,-1,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,,17915,15525,0,0,0
1,0,0,0,0,2,1,1,2,0,2,-2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
1,0,0,0,0,3,2,1,2,0,3,-3,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
1,0,0,0,0,4,2,1,2,0,4,-4,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
1,0,0,0,0,5,1,1,2,0,5,-5,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
1,0,0,0,0,6,1,1,2,0,6,-6,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0
1,0,0,0,0,7,2,1,2,0,7,-7,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,,,,,0,0,0
1,0,0,0,1,7,2,2,1,1,7,-6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
1,0,0,0,2,7,1,1,1,2,7,-5,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
1,0,0,0,2,8,1,1,2,2,8,-6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,,,,,0,0,0
1,0,0,0,3,8,2,1,1,3,8,-5,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
1,0,0,0,3,9,2,1,2,3,9,-6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
1,0,0,0,4,9,1,1,1,4,9,-5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
1,0,0,0,4,10,1,1,2,4,10,-6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
1,0,0,0,4,11,2,1,2,4,11,-7,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
2,0,1,-1,1,0,2,1,1,5,11,-6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,,,,0,0,0
2,0,1,-1,1,1,2,1,2,5,12,-7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
2,0,1,-1,2,1,1,1,1,6,12,-6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
2,0,1,-1,3,1,1,1,1,7,12,-5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
2,0,1,-1,3,2,2,1,2,7,13,-6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
2,0,1,-1,3,3,2,1,2,7,14,-7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
2,0,1,-1,4,3,1,2,1,8,14,-6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
2,0,1,-1,4,4,1,1,2,8,15,-7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
2,0,1,-1,4,5,2,1,2,8,16,-8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
2,0,1,-1,5,5,2,1,1,9,16,-7,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
2,0,1,-1,6,5,1,1,1,10,16,-6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
2,0,1,-1,7,5,1,1,1,11,16,-5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
2,0,1,-1,7,6,2,1,2,11,17,-6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
2,0,1,-1,7,7,2,1,2,11,18,-7,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
2,0,1,-1,7,8,1,1,2,11,19,-8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
2,0,1,-1,8,8,1,1,1,12,19,-7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
2,0,1,-1,9,8,2,1,1,13,19,-6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
2,0,1,-1,10,8,2,1,1,14,19,-5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,,,,0,0,0
2,0,1,-1,10,9,1,1,2,14,20,-6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
2,0,1,-1,10,10,1,1,2,14,21,-7,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
2,0,1,-1,11,10,2,1,1,15,21,-6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
2,0,1,-1,12,10,1,1,1,16,21,-5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
3,1,1,0,0,1,1,1,2,16,22,-6,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0
3,1,1,0,1,1,1,1,1,17,22,-5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
3,1,1,0,1,2,2,1,2,17,23,-6,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0
3,1,1,0,2,2,2,1,1,18,23,-5,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
3,1,1,0,3,2,1,1,1,19,23,-4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
